    Mage of Fools, Eugen Bacon (Meerkat)
    How To Succeed in Witchcraft, Aislinn Brophy (Putnam)
    The Hacienda, Isabel Cañas (Berkley)
    Singer Distance, Ethan Chatagnier (Tin House)
    The Book Eaters, Sunyi Dean (Tor; Harper Voyager UK)
    Wrath Goddess Sing, Maya Deane (Morrow)
    Blood Scion, Deborah Falaye (HarperTeen)
    Manhunt, Gretchen Felker-Martin (Nightfire)
    The Bruising of Qilwa, Naseem Jamnia (Tachyon)
    The Ballad of Perilous Graves, Alex Jennings (Redhook; Orbit UK)
    The Moth Girl, Heather Kamins (Putnam)
    When the Angels Left the Old Country, Sacha Lamb (Levine Querido)
    The Unbalancing, R.B. Lemberg (Tachyon)
    Only a Monster, Vanessa Len (HarperTeen; Hodder & Stoughton; Allen & Unwin)
    The Bone Orchard, Sara A. Mueller (Tor)
    How High We Go in the Dark, Sequoia Nagamatsu (Morrow; Bloomsbury)
    The Mountain in the Sea, Ray Nayler (MCD; Weidenfeld & Nicolson)
    Bluebird, Ciel Pierlot (Angry Robot)
    Burn Down, Rise Up, Vincent Tirado (Sourcebooks Fire)
    The Immortal King Rao, Vauhini Vara (Norton; Grove UK)
    Hell Followed With Us, Andrew Joseph White (Peachtree Teen)
    The Doloriad, Missouri Williams (MCD x FSG Originals; Dead Ink)
    The Genesis of Misery, Neon Yang (Tor)
